ID,Company,Title,Location,Publication Date,Link
"40","Compass.UOL","Backend Node.js Tech Lead (São Paulo/SP - hybrid)","Efetivo","Publicada em 09 de agosto de 2023","https://compass.gupy.io/job/eyJqb2JJZCI6NTIyMTcwOCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"41","Vagas Inmetrics","PESSOA DESENVOLVEDORA BACKEND JAVA PLENO- HÍBRIDO SP","São Paulo - SP","Publicada em 09 de agosto de 2023","https://inmetrics.gupy.io/job/eyJqb2JJZCI6NTI1ODY4Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"42","Radix Engenharia e Software","Profissional de Desenvolvimento Backend Sênior","Efetivo","Publicada em 09 de agosto de 2023","https://radixeng.gupy.io/job/eyJqb2JJZCI6NTI1NDQ5Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"43","Pagaleve","Pessoa Desenvolvedora Backend Senior","São Paulo - SP","Publicada em 07 de agosto de 2023","https://pagaleve.gupy.io/job/eyJqb2JJZCI6NTI0OTk3MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"44","Grupo Boticário","Pessoa Desenvolvedora Backend Node.js III (Lojas e Franquias)","Efetivo","Publicada em 07 de agosto de 2023","https://grupoboticario.gupy.io/job/eyJqb2JJZCI6NTEwMTY4Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"45","Grupo Boticário","Pessoa Desenvolvedora Especialista I Backend - Squad Loja Física (E-commerce)","Efetivo","Publicada em 07 de agosto de 2023","https://grupoboticario.gupy.io/job/eyJqb2JJZCI6NTI0NTc3NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"46","Grupo Boticário","Pessoa Desenvolvedora Backend Analista III (Squad Onboarding) - Vaga afirmativa para Mulheres (cis e trans)","Efetivo","Publicada em 07 de agosto de 2023","https://grupoboticario.gupy.io/job/eyJqb2JJZCI6NTI0NTc3Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"47","Grupo Brisanet","Pessoa Programadora Backend - Pereiro Ce","Pereiro","Publicada em 06 de agosto de 2023","https://brisanet.gupy.io/job/eyJqb2JJZCI6NTIxNTA3MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"48","VENHA SER #SANGUELARANJA 🧡🚀","Desenvolvedor Backend Kotlin - SR","São Paulo - SP","Publicada em 04 de agosto de 2023","https://fcamara.gupy.io/job/eyJqb2JJZCI6NTIzODMwMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"49","Webjump","Desenvolvimento Backend Node.js (Júnior)","Santo Amaro","Publicada em 03 de agosto de 2023","https://webjump.gupy.io/job/eyJqb2JJZCI6NTIzNzgxMCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"50","Webjump","Desenvolvimento Backend Node.js (Pleno / Sênior)","Santo Amaro","Publicada em 03 de agosto de 2023","https://webjump.gupy.io/job/eyJqb2JJZCI6NTIxNDIzNCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"51","Raízen","Engenheiro(a) de Software BackEnd Sr | Shell Box | Remoto","SÃO PAULO","Publicada em 03 de agosto de 2023","https://genteraizen.gupy.io/job/eyJqb2JJZCI6NTE2NjE1NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"52","Mobills","PHP Backend Software Engineer","Efetivo","Publicada em 02 de agosto de 2023","https://mobills.gupy.io/job/eyJqb2JJZCI6NTE5NTIzMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
