ID,Company,Title,Location,Publication Date,Link
"20","NAVA | Technology for Business","DEV JAVA FULLSTACK JR/PL","São Paulo - SP","Publicada em 24 de agosto de 2023","https://nava.gupy.io/job/eyJqb2JJZCI6NTMzMjk3OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"21","NAVA | Technology for Business","DEV JAVA FULLSTACK PL","São Paulo - SP","Publicada em 24 de agosto de 2023","https://nava.gupy.io/job/eyJqb2JJZCI6NTMzMjk2Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"22","NAVA | Technology for Business","DEV JAVA FULLSTACK PL","São Paulo - SP","Publicada em 24 de agosto de 2023","https://nava.gupy.io/job/eyJqb2JJZCI6NTMzMjkyMCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"23","Cielo","Desenvolvedor Full Stack Java","Barueri - SP","Publicada em 23 de agosto de 2023","https://cielo.gupy.io/job/eyJqb2JJZCI6NTMyMjExNiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"24","C&A Brasil","Analista de Sistemas Sênior - Java","BARUERI","Publicada em 23 de agosto de 2023","https://cea.gupy.io/job/eyJqb2JJZCI6NTMyMjY0MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"25","Unicred do Brasil","Pessoa Desenvolvedora Back end Java SR","Porto Alegre - RS","Publicada em 23 de agosto de 2023","https://unicredbr.gupy.io/job/eyJqb2JJZCI6NTI5Njc3Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"26","AMcom","Pessoa Analista Desenvolvedora Java Full Stack Pleno","Blumenau","Publicada em 23 de agosto de 2023","https://amcom.gupy.io/job/eyJqb2JJZCI6NTMxMDk2NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"27","Unicred do Brasil","Pessoa Especialista Desenvolvedora Java","Porto Alegre - RS","Publicada em 23 de agosto de 2023","https://unicredbr.gupy.io/job/eyJqb2JJZCI6NTMxOTMzNCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"28","Samsung SDS Latin America","Desenvolvedor(a) Java Pl","São Paulo - SP","Publicada em 23 de agosto de 2023","https://samsungsds.gupy.io/job/eyJqb2JJZCI6NTMxODc3OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"29","Softplan","Pessoa Especialista Backend Java - Cód. 6960","Joinville - SC","Publicada em 23 de agosto de 2023","https://softplan.gupy.io/job/eyJqb2JJZCI6NTMwNjk2MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"30","NAVA | Technology for Business","PESSOA DESENVOLVEDORA JAVA","São Paulo - SP","Publicada em 23 de agosto de 2023","https://nava.gupy.io/job/eyJqb2JJZCI6NTMxNjE2Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"31","NAVA | Technology for Business","PESSOA FULLSTACK (JAVA / ANGULAR)","São Paulo - SP","Publicada em 23 de agosto de 2023","https://nava.gupy.io/job/eyJqb2JJZCI6NTMxNjEzOSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"32","NAVA | Technology for Business","PESSOA FULLSTACK (JAVA / ANGULAR)","São Paulo - SP","Publicada em 23 de agosto de 2023","https://nava.gupy.io/job/eyJqb2JJZCI6NTMxNjA4Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"33","NAVA | Technology for Business","PESSOA DESENVOLVEDORA JAVA JR/PL","São Paulo - SP","Publicada em 23 de agosto de 2023","https://nava.gupy.io/job/eyJqb2JJZCI6NTMxNTQ3OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"34","NAVA | Technology for Business","PESSOA DESENVOLVEDORA JAVA","São Paulo - SP","Publicada em 23 de agosto de 2023","https://nava.gupy.io/job/eyJqb2JJZCI6NTMxNDg2MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"35","NAVA | Technology for Business","PESSOA DESENVOLVEDORA JAVA","São Paulo - SP","Publicada em 23 de agosto de 2023","https://nava.gupy.io/job/eyJqb2JJZCI6NTMxNDc3OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"36","MJV Technology & Innovation","Pessoa Desenvolvedora Back-end (Java)","Curitiba - PR","Publicada em 22 de agosto de 2023","https://mjvcarreiras.gupy.io/job/eyJqb2JJZCI6NTI3MDU3NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"37","Techne","Desenvolvedor Java - Pleno","São Paulo - SP","Publicada em 22 de agosto de 2023","https://techne.gupy.io/job/eyJqb2JJZCI6NTMxMTgwNCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"38","Job Opportunities","Senior FullStack Engineer (C# or JAVA)_USA_1615","São Paulo - SP","Publicada em 22 de agosto de 2023","https://gobettirh.gupy.io/job/eyJqb2JJZCI6NTMxMTM0OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"39","Recrutamento para área de tecnologia com Fit Cultural e Aderência Técnica.","Engenheiro(a) de Software JAVA","São Paulo - SP","Publicada em 22 de agosto de 2023","https://werecruiter.gupy.io/job/eyJqb2JJZCI6NTMxMDg2OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"40","PagBank","Engenheiro de Software Java Pl.","SAO PAULO - SP","Publicada em 22 de agosto de 2023","https://pagseguro.gupy.io/job/eyJqb2JJZCI6NTI5NTUzOCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
