ID,Company,Title,Location,Publication Date,Link
"22","Toro Investimentos","Pessoa Desenvolvedora de Software Full Stack Sênior Python/Angular","Belo Horizonte - MG","Publicada em 16 de junho de 2023","https://toroinvestimentos.gupy.io/job/eyJqb2JJZCI6NDk1MDEwNCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"23","Zallpy Digital","Python Developer SR","Florianópolis - SC","Publicada em 12 de junho de 2023","https://zallpy.gupy.io/job/eyJqb2JJZCI6NDk2NzY1OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"24","Mercafacil","Engenheiro(a) de Dados Sênior | Python (Banco de Talentos)","Curitiba - PR","Publicada em 01 de junho de 2023","https://mercafacil.gupy.io/job/eyJqb2JJZCI6NDg5MTU3OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"25","Consult Mídia Soluções","Analista Desenvolvedor Pleno (Java ou PHP ou Python)","Brasília","Publicada em 30 de maio de 2023","https://consultmidia.gupy.io/job/eyJqb2JJZCI6NDg3MzA4Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"26","Nomos - Melhores Investidores","Desenvolvedor Pleno (Python)","Rio de Janeiro - RJ","Publicada em 16 de maio de 2023","https://nomos.gupy.io/job/eyJqb2JJZCI6NDgxMTI1MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"27","Sky.One Solutions","DESENVOLVEDOR PYTHON SÊNIOR","São Paulo - SP","Publicada em 03 de maio de 2023","https://skyone.gupy.io/job/eyJqb2JJZCI6NDc2MzgyMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"28","Compass.UOL","Python BackEnd Developer | Mid/Senior","Efetivo","Publicada em 10 de março de 2023","https://compass.gupy.io/job/eyJqb2JJZCI6NDM5Mjk2Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"29","Confidencial","Desenvolvedor Python","Efetivo","Publicada em 12 de janeiro de 2023","https://rhmanaus.gupy.io/job/eyJqb2JJZCI6Mzg5NTUxNCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"30","Vem Pra Vivo","Banco - Desenvolvedor (a) - JAVA / Node Js / Python/ Spring / SpringBoot","São Paulo - SP","Publicada em 18 de novembro de 2022","https://vivo.gupy.io/job/eyJqb2JJZCI6MzQ5MjE0Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"31","Instituto Atlântico","[Banco de Talentos] Pessoa Desenvolvedora Python","Fortaleza - CE","Publicada em 06 de setembro de 2022","https://institutoatlantico.gupy.io/job/eyJqb2JJZCI6Mjg3OTE2OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"32","invillia","Sr Backend Developer - Python - (100% Remoto)","Banco de talentos","Publicada em 10 de março de 2022","https://invillia.gupy.io/job/eyJqb2JJZCI6MTU4NDg1MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"33","invillia","Mid Backend Developer - Python - (100% Remoto)","Banco de talentos","Publicada em 10 de março de 2022","https://invillia.gupy.io/job/eyJqb2JJZCI6MTU4NDgzMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
