"Toro Investimentos","Pessoa Desenvolvedora Full Stack Pleno (.Net/C# ou NodeJS)","São Paulo - SP","Publicada em 25 de agosto de 2023","https://toroinvestimentos.gupy.io/job/eyJqb2JJZCI6NTMxMjYwMCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Outsmart Digital","Pessoa Desenvolvedora Flutter Sênior","São Paulo - SP","Publicada em 25 de agosto de 2023","https://outsmartdigital.gupy.io/job/eyJqb2JJZCI6NTM0MjUyNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Akm Performma","Pessoa Desenvolvedora Node.js Full Stack Pleno/Sênior","São Paulo - SP","Publicada em 25 de agosto de 2023","https://akmperformma.gupy.io/job/eyJqb2JJZCI6NTM0MjQwMCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Raízen","Pessoa Desenvolvedora Sênior (Node.js) | Raízen Power","São Paulo - SP","Publicada em 25 de agosto de 2023","https://genteraizen.gupy.io/job/eyJqb2JJZCI6NTI5NzY0Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"VENHA SER #SANGUELARANJA 🧡🚀","Desenvolvedor .NET","São Paulo - SP","Publicada em 25 de agosto de 2023","https://fcamara.gupy.io/job/eyJqb2JJZCI6NTMzNTAwOCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Softplan","Pessoa Desenvolvedora Front-end Angular Pl - Cód. 5822","Joinville - SC","Publicada em 25 de agosto de 2023","https://softplan.gupy.io/job/eyJqb2JJZCI6NTMxNTgyMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"The Bridge Vagas","Desenvolvedor Backend sênior - 100% Remoto","São Paulo - SP","Publicada em 25 de agosto de 2023","https://thebridgesocial.gupy.io/job/eyJqb2JJZCI6NTM0MTAzMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Cielo","Desenvolvedor Java Sênior com ênfase em Big Data","Barueri - SP","Publicada em 25 de agosto de 2023","https://cielo.gupy.io/job/eyJqb2JJZCI6NTM0MDg0Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Datum TI","Desenvolvedor Front-End Web React.js Sênior","Porto Alegre - RS","Publicada em 25 de agosto de 2023","https://datum.gupy.io/job/eyJqb2JJZCI6NTM0MDc1Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"3CON | IT & Digital","Analista Desenvolvedor Fullstack Mobile","São Paulo","Publicada em 25 de agosto de 2023","https://trescon.gupy.io/job/eyJqb2JJZCI6NTM0MDcyMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"VENHA SER #SANGUELARANJA 🧡🚀","Desenvolvedor(a) Front React SR","São Paulo - SP","Publicada em 25 de agosto de 2023","https://fcamara.gupy.io/job/eyJqb2JJZCI6NTMzNTY5Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"GRUPO SOMA","GRUPO SOMA | Desenvolvedor(a) Front End Sênior | Somalabs","RIO DE JANEIRO - RJ","Publicada em 25 de agosto de 2023","https://gruposoma.gupy.io/job/eyJqb2JJZCI6NDgyMjE2MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"3CON | IT & Digital","Analista Desenvolvedor Fullstack Web","São Paulo","Publicada em 25 de agosto de 2023","https://trescon.gupy.io/job/eyJqb2JJZCI6NTM0MDA0Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Destaxa","Analista Desenvolvedor Full Stack","São Paulo - SP","Publicada em 25 de agosto de 2023","https://vempradestaxa.gupy.io/job/eyJqb2JJZCI6NTMxMzEyMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Solar Coca-Cola","Desenvolvedor(a) de Mercado - Rota","Boa Vista","Publicada em 25 de agosto de 2023","https://solarcocacola.gupy.io/job/eyJqb2JJZCI6NTMzOTc2MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"AMcom","Pessoa Desenvolvedora Full Stack .Net Sênior","Blumenau - SC","Publicada em 25 de agosto de 2023","https://amcom.gupy.io/job/eyJqb2JJZCI6NTMzNDUzMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Vnda Ecommerce","Desenvolvedor Web Pleno","Porto Alegre - RS","Publicada em 25 de agosto de 2023","https://vndaecommerce.gupy.io/job/eyJqb2JJZCI6NTMzOTc2Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Cielo","Desenvolvedor POS | Smart POS","Barueri - SP","Publicada em 25 de agosto de 2023","https://cielo.gupy.io/job/eyJqb2JJZCI6NTMzOTcwOSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"MJV Technology & Innovation","Pessoa Desenvolvedora Back-end (Java)","Rio de Janeiro - RJ","Publicada em 25 de agosto de 2023","https://mjvcarreiras.gupy.io/job/eyJqb2JJZCI6NTMwNjc4OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Vegamonitoramento","Desenvolvedor Pleno","Sao Jose dos Campos - SP","Publicada em 25 de agosto de 2023","https://vegamonitoramento.gupy.io/job/eyJqb2JJZCI6NTMxMzk1Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Spread Tecnologia","RHA3557 - Pessoa Desenvolvedora C# Pleno","SAO PAULO","Publicada em 25 de agosto de 2023","https://spread.gupy.io/job/eyJqb2JJZCI6NTMzOTI1Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Tunts.Rocks","Desenvolvedor (C#) Pleno","Efetivo","Publicada em 25 de agosto de 2023","https://tunts.gupy.io/job/eyJqb2JJZCI6NTMzODg1Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Korp","Desenvolvedor(a) Delphi Júnior","Curitiba - PR","Publicada em 25 de agosto de 2023","https://korp.gupy.io/job/eyJqb2JJZCI6NTMzODQyMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Yaman Tecnologia","DESENVOLVEDOR MOBILE - (IOS/ANDROID) AWS - JR","São Paulo","Publicada em 25 de agosto de 2023","https://vemprayaman.gupy.io/job/eyJqb2JJZCI6NTMyMjkwMCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
