"Grupo Vamos","DESENVOLVEDOR PHP JUNIOR","Publicada em 01 de agosto de 2023","https://vamos.gupy.io/job/eyJqb2JJZCI6NTIyNzM4MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"MOVA","Programador back-end Pleno (PHP)","Publicada em 31 de julho de 2023","https://mova.gupy.io/job/eyJqb2JJZCI6NTIyMTI3MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Montreal & Tecnologia & Inovação","Desenvolvedor PHP SR - Regional São Paulo","Publicada em 27 de julho de 2023","https://montreal.gupy.io/job/eyJqb2JJZCI6NTIxMDU5MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Leega Consultoria","Arquiteto de Software [PHP &AWS]","Publicada em 26 de julho de 2023","https://leega.gupy.io/job/eyJqb2JJZCI6NTIwMTcyMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Leega Consultoria","Desenvolvedor FullStack [PHP & AWS]","Publicada em 26 de julho de 2023","https://leega.gupy.io/job/eyJqb2JJZCI6NTIwMDgxNSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"GLOBAL HITSS","13240-Pessoa Desenvolvedora PHP","Publicada em 25 de julho de 2023","https://globalhitss.gupy.io/job/eyJqb2JJZCI6NTE3ODQwMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"VENHA SER #SANGUELARANJA 🧡🚀","Tech Leader - NodeJS/ PHP","Publicada em 24 de julho de 2023","https://fcamara.gupy.io/job/eyJqb2JJZCI6NTE5NTk3Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Grupo Nexxees","Desenvolvedor(a) - PHP","Publicada em 24 de julho de 2023","https://gruponexxees.gupy.io/job/eyJqb2JJZCI6NTE5NjAwMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Fretebras","Desenvolvedor (a) Back-End PHP | PCD","Publicada em 21 de julho de 2023","https://fretebras.gupy.io/job/eyJqb2JJZCI6NTE5MDEzOCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Datum TI","Pessoa Desenvolvedora PHP Sênior","Publicada em 18 de julho de 2023","https://datum.gupy.io/job/eyJqb2JJZCI6NTE3NDAwOSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Inicie","Desenvolvedor Fullstack PHP Angular Pleno Nível 1","Publicada em 18 de julho de 2023","https://inicie.gupy.io/job/eyJqb2JJZCI6NTE3Mzg3Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"GLOBAL HITSS","13244-Pessoa Desenvolvedora PHP","Publicada em 17 de julho de 2023","https://globalhitss.gupy.io/job/eyJqb2JJZCI6NTA5NDc0Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"GLOBAL HITSS","13253-Pessoa Desenvolvedora (PHP)","Publicada em 17 de julho de 2023","https://globalhitss.gupy.io/job/eyJqb2JJZCI6NTA5MjI0MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"Superlógica Tecnologias","Pessoa Desenvolvedora PHP Pleno","Publicada em 13 de julho de 2023","https://superlogica.gupy.io/job/eyJqb2JJZCI6NTE1ODAyMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"GLOBAL HITSS","13238-Pessoa Arquiteta (PHP)","Publicada em 11 de julho de 2023","https://globalhitss.gupy.io/job/eyJqb2JJZCI6NTA5NzM2OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"GLOBAL HITSS","13242-Pessoa Desenvolvedora (PHP)","Publicada em 11 de julho de 2023","https://globalhitss.gupy.io/job/eyJqb2JJZCI6NTA5NDc1Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
"GLOBAL HITSS","13241-Pessoa Desenvolvedora (PHP)","Publicada em 11 de julho de 2023","https://globalhitss.gupy.io/job/eyJqb2JJZCI6NTA5NzM1NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal"
